Key,Item Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body
3U8MH8SJ,journalArticle,2021,"Mohanta, Manas R.; Mohanty, Rama C.; Sahu, Sudam C.",Phenology and regeneration status of <i>Terminalia tomentosa</i> (Roxb.) Wight & Arn.: a tropical tree species of Indian forests,ECOSCIENCE,,1195-6860,10.1080/11956860.2021.1916216,,"Terminalia tomentosa (Roxb.) Wight & Arn., an important tree species in the tropical forests of India, is often reported to have poor or no regeneration in many parts of the country. The present study was conducted to evaluate the population structure and regeneration status of the species in three different forest types of the Similipal Biosphere Reserve, along with phenological behaviours for two consecutive years. Leaf initiation was positively correlated with fruit senescence (r = 0.76, p < 0.01) and flower initiation (r = 0.63, p < 0.01). However, a negative correlation was found between leaf initiation (LF2) and leaf senescence (LF5) (r = -0.42, p < 0.05). Principal Component Analysis showed that maximum temperature and rainfall in a given month are the main factors for pre-monsoon events (leaf senescence and fruit senescence) and post-monsoon events (growth and maturation of leaves and fruits). The results also revealed that regeneration failure of T. tomentosa was not due to phenological intensity but possibly to wrong phenological timing of fruit maturation. This study on regeneration status and phenological information of T. tomentosa could help develop strategies for conservation and management of this tropical tree species in its natural ecosystem.",03/04/2021,12/02/2025 12:52,12/02/2025 12:52,,171-183,,2,28,,,,,,,,,,English,,,,,,,"Place: 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA Publisher: TAYLOR & FRANCIS INC Type: Article",,,,climatic variables; phenology; PCA; Regeneration status; Terminalia tomentosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDVNDA3E,journalArticle,1982,"REICH, PB; BORCHERT, R","PHENOLOGY AND ECOPHYSIOLOGY OF THE TROPICAL TREE, TABEBUIA-NEOCHRYSANTHA (BIGNONIACEAE)",ECOLOGY,,0012-9658,10.2307/1938945,,"Phenology and seasonal variations in water stress, as reflected in variations in stem circumference, were monitored throughout 1978 in numerous T. neochrysantha growing at several dry and wet sites in a lowland deciduous forest in Guanacaste, Costa Rica. The rate of leaf fall during the early dry season was strongly correlated with the decline in soil moisture and increasing water stress of the tress. Without exception, recovery from water stress was required for flowering and shoot emergence. At dry sites rehydration occurred only after isolated rain showers or irrigation; at wet sites it took place during continued drought, probably as a consequence of the decrease in transpiration during leaf fall. Flowering was observed to occur at any time between the beginning (Dec.) and end (May) of the dry season. Differences in the timing and intensity of flowering as well as in the timing of leaf fall and shoot emergence can be accounted for by site-dependent differences in the rates of desiccation and rehydration of trees in conjunction with year-to-year variation in the timing and intensity of rainfall. No evidence for the control of seasonal development by other environmental factors, such as variations in temperature or photoperiod, was obtained.",1982,12/02/2025 12:52,12/02/2025 12:52,,294-299,,2,63,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ADFNU65,journalArticle,1995,"Killmann, W; Thong, HL",The periodicity of growth in tropical trees with special reference to dipterocarpaceae - A review,IAWA JOURNAL,,0928-1541,10.1163/22941932-90001423,,"The periodicity of leaf change and flowering and fruiting of tropical trees is discussed. Cambial activity patterns in tropical trees are reviewed. Emphasis is put on research undertaken in South-East Asia on the most important timber tree family in that region, the Dipterocarpaceae. There is an urgent need for more information on the effects of rainfall patterns and phenological periodicity on cambial activity and ring formation in this family.",1995,12/02/2025 12:52,12/02/2025 12:52,,329-335,,4,16,,,,,,,,,,English,,,,,,,"Backup Publisher: Forest Res Inst Malaysia; IUFRO; Univ Hamburg, Inst Wood Biol Place: RIJKSHERBARIUM, PO BOX 9514, 2300 LEIDEN, NETHERLANDS Publisher: INT ASSOC WOOD ANATOMISTS Type: Article; Proceedings Paper",,,,tropical trees; phenology; dipterocarps; periodicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9SPWPNI8,journalArticle,2010,"Hayden, B.; Greene, D. F.; Quesada, M.",A field experiment to determine the effect of dry-season precipitation on annual ring formation and leaf phenology in a seasonally dry tropical forest,JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467409990563,,"Trees growing in a seasonally tropical dry forest, with its characteristic 5-7-mo rainless interval, possess a variety of physiological adaptations to drought, the most common being leaf abscission. At the Estaction Biologia de Chamela in western Mexico, we experimentally examined the relationship between one-time experimental irrigation ranging as 0 (control) to 200 mm, and (1) the degree of bud burst (and, for a single species, flowering), and (2) the formation of a false ring. Additionally, we used long-terms records at a nearby meteorological station to determine the probability of a rain event exceeding a particular intensity (mm). For our seven species (particularly the two most common species: Cordia alliodora and Piptadenia constricta), we found that the degree of budburst and leaf extension was a function of irrigation intensity. In no case, however, did we find false rings, or indeed any indication of cambial activity initiated by the irrigation event. Further, there was no effect of intensity on subsequent relative growth rate in the following wet season. While sufficient rainfall (200 mm) to cause full leaf deployment is rare, nonetheless we estimate that a canopy tree in the study area would experience an event of this magnitude at lease a few times per century. In any case, it will have no effect on the reliability of annual rings in this biome nor any effect on diameter growth in (at least) the following year.",2010-03,12/02/2025 12:52,12/02/2025 12:52,,237-242,,2,26,,,,,,,,,,English,,,,,,,"Place: 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article",,,,Mexico; tropical dry forest; budburst; dendrochronology; tree rings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC2EC7C,journalArticle,2023,"Silva, Jailton de Jesus; Duarte, Edson Ferreira; Kiill, Lucia Helena Piedade; Gomes, Raquel Araujo; Dantas, Barbara Franca; Pelacani, Claudineia Regina; Funch, Ligia Silveira",Phenological dynamics of four populations of <i>Handroanthus spongiosus</i> in seasonally dry tropical forest in Brazil,FLORA,,0367-2530,10.1016/j.flora.2023.152371,,"The scarcity of phenological studies based on different populations of tropical forest trees limits seed management and collection for reforestation efforts. Precipitation is the primary factor driving tropical plant phenology in seasonal environments, although other environmental variables and plant traits may be associated. We examined the seasonality, synchrony, and intensities of the vegetative and reproductive phenophases of four populations of Handroanthus spongiosus, an endangered species, under similar climate regimes in a seasonally dry tropical forest, in northeastern Brazil. We expected to observe some divergence in the phenologies of the populations related to distinct functional traits selected for by differences in rainfall and soil properties. Mature trees (n = 87) were monitored during a three-year period. Seasonality was examined using circular statistics, and the influences of environmental variables on phenophases were investigated using generalized additive models. Variations in intensities and activity indices were identified among the different populations. Vegetative phenophases were seasonal, driven by precipitation and photoperiod, with leaf longevity of up to 7 months; budding peaked in February-March, while leaf fall peaked in April and October. The reproductive phenophases were found to be seasonal, during the rainy season (November to April), influenced by temperature and photoperiod. The slight divergences noted among the phenological behaviors of the populations were related to distinct functional traits (e.g., tree height, stem diameter) selected for by differences in certain environmental variables (rainfall volumes and soil properties). Given ongoing global climate changes, increases in leaf fall and reductions of flowering intensity, as verified here, will likely be observed.",2023-09,12/02/2025 12:52,12/02/2025 12:52,,,,,306,,,,,,,,,,English,,,,,,,"Place: HACKERBRUCKE 6, 80335 MUNICH, GERMANY Publisher: ELSEVIER GMBH Type: Article",,,,Seasonality; Caatinga; Environmental variables; Leaf phenology; Plant traits; Reproductive phenology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXPXNZAT,journalArticle,2013,"Rosa, Roxaneh Khorsand; Barbosa, Reinaldo Imbrozio; Koptur, Suzanne","How do habitat and climate variation affect phenology of the Amazonian palm, <i>Mauritia flexuosa</i>?",JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467413000242,,"Although the dioecious palm, Mauritia flexuosa plays a pivotal role in Amazonian ecology and economy, little is known about its flowering and fruiting patterns. We investigated the role of habitat and inter-annual precipitation in the phenology of M. flexuosa. We calculated sex ratios and recorded phenology for 20 mo in four populations (N = 246) of savanna-forest ecotone (two sites) and forest (two sites) habitat in Roraima, Brazilian Amazonia. Sex ratios were significantly female-biased, and > 98% of females set fruit. No significant relationship was found between habitat and sex. Flowering occurred at the wet/dry season interface (August-November), and fruit maturation occurred during the wet season (May-August). Males and females flowered synchronously, and neither the onset nor termination of flowering differed significantly between habitats. Flowering was negatively associated with present precipitation and positively correlated with prior precipitation (3 mo). Fruiting was positively associated with present precipitation and unrelated to prior precipitation (3 mo). We conclude that habitat has an insignificant effect, although short-term climatic variation may influence phenology of this species in northern Amazonia. These results highlight the need for long-term studies relating flowering and fruiting events, and inter-annual climatic variation.",2013-05,12/02/2025 12:52,12/02/2025 12:52,,255-259,,3,29,,,,,,,,,,English,,,,,,,"Place: 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article",,,,Brazil; dioecy; Amazonian ecology; Arecaceae; flower/fruit phenology; habitat; palm ecology; sex ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8SWN4PA6,journalArticle,2023,"Vukialau-Taoi, M.; Lili, L.; Bolatolu, W.",DIFFERENTIAL EFFECTS OF PRE CIPITATION AND TEMPERATURE ON SEE D PHENOLOGY AND SEE D PRODUCTION IN AGATHIS MACROPHYLLA IN FIJI,JOURNAL OF TROPICAL FOREST SCIENCE,,0128-1283,10.26525/jtfs2023.35.2.157,,"Agathis macrophylla (Araucariaceae) is a native tree in Fiji, found in Vanuatu and Solomon Islands, that is of great socio-economic value, ecological significance and cultural importance. Due to the impact of climate change on biodiversity, this bio-geographical study was initiated to analyse a 30-year (1989-2019) data set from the Monasasvu Meteorological station, using descriptive statistics coupled with Mann-Kendall and Sen's Slope test methods. The study detected the trend and impact of precipitation and rainfall on the fruiting phenology, mean fruit weight, total number of seed produced, volume seed count and germinants propagated for A. macrophylla from the Nausori Highlands, Ba Province, Western Division of Fiji for the period 2010-2019. The results showed significant deviation in the flowering and fruiting seasons and emergence of fruit cones which were observed between April to May, a five-month delay from the seed phenology calendar. There has also been a significant shift in fruiting and maturity richness and intensity as it occurred in the months when both the precipitation (456-652 mm) and temperature (26.8-28.6 degrees C) were higher. The phenological response to these climate variables was astounding as the coefficient of variation for the average fruit weight, seed numbers and germination rate ranged between 65-73%. This calls for more concerted conservation action in the identification and mapping of mature seed trees, a moratorium on timber harvesting during its fruiting and maturity seasons, establishing at least two seed stands, and germinating larger numbers of seedlings following mast seed years and holding them in the nursery under specific conditions until required for field planting.",2023,12/02/2025 12:52,12/02/2025 12:52,,157-167,,2,35,,,,,,,,,,English,,,,,,,"Place: PUBLICATION UNIT, KEPONG, KUALA LUMPUR 52109, MALAYSIA Publisher: FOREST RESEARCH INST MALAYSIA Type: Article",,,,temperature; precipitation; Agathis macrophylla; Fiji Nausori Highlands; Mann-Kendall; seed phenology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQXW3NSA,journalArticle,2000,"Justiniano, MJ; Fredericksen, TS",Phenology of tree species in Bolivian dry forests,BIOTROPICA,,0006-3606,10.1111/j.1744-7429.2000.tb00470.x,,"Phenological characteristics of 453 individuals representing 39 tree species were investigated in two dry forests of the Lomerio region, Department of Santa Cruz, Bolivia. The leaf, Bower, and fruit production of canopy and sub-canopy forest tree species were recorded monthly over a two-year period. Most canopy species lost their leaves during the dry season, whereas nearly all sub-canopy species retained their leaves. Peak leaf fall for canopy trees coincided with the peak of the dry season in July and August. Flushing of new leaves was complete by November in the Early rainy season. Flowering and fruiting were bimodal, with a major peak occurring at the end of the dry season (August-October) and a minor peak during the rainy season (January). Fruit development was sufficiently long in this forest chat fruiting peaks actually tended to precede flowering peaks by one month. A scarcity of fruit was observed in May, corresponding to the end of the rainy season. With the exception of figs (Ficus), most species had fairly synchronous fruit production. Most canopy trees had small, wind dispersed seeds or fruits that matured during the latter parr of the dry season, whereas many sub-canopy tree species produced larger animal- or gravity-dispersed fruits that matured during the peak of the rainy season. Most species produced fruit annually. Lomerio received less rainfall than other tropical dry forests in which phenological studies have been conducted, bur rainfall can be plentiful during the dry season in association with the passage of Antarctic cold fronts. Still, phenological patterns in Bolivian dry forests appear to be similar to those of other Neotropical dry forests.",2000-06,12/02/2025 12:52,12/02/2025 12:52,,276-281,,2,32,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,flowering; phenology; leaf fall; tropical dry forest; Bolivia; fruit production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37M7VIBV,journalArticle,2007,"Brearley, Francis Q.; Proctor, John; Suriantata; Nagy, Laszlo; Dalrymple, Gemma; Voysey, Benedict C.",Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo,JOURNAL OF ECOLOGY,,0022-0477,10.1111/j.1365-2745.2007.01258.x,,"1. The aim of this study was to document patterns in tree reproductive phenology in a rain forest of central Borneo and examine relationships between phenology and climatic patterns. 2. A 10-year data set (1990-2000) of monthly observations of flowering and fruit production of 171 trees (including 39 members of the Dipterocarpaceae) at Barito Ulu, Central Kalimantan, Indonesia, showed that most trees (73%) underwent reproductive activity on a supra-annual timescale. 3. There were three general flowering (GF) events, in 1991, 1994 and 1997, which were preceded by major drought periods (30-day sliding total rainfall of less than 100 mm for more than 10 days) in which at least 40% of dipterocarps and at least 18% of all other trees underwent synchronized reproductive activity; there was also a minor event in 1990. Around 1.3% of trees flowered and 3.8% produced fruit in months outside of these four events. 4. At the community level, the strongest negative correlation was found between the percentage of flowering individuals and total rainfall in the preceding 150 days. 5. Within three genera of dipterocarps examined in more detail (Dipterocarpus, Shorea and Vatica) there were clear and consistent patterns of sequential flowering with certain species flowering early in the GF events and others towards the end of these events. 6. Our results confirm the importance of large-scale climatic fluctuations (El Nino-Southern Oscillation) on plant reproductive phenology in South-east Asian tropical forests and indicate that drought may be a more important cue than low night-time temperatures.",2007-07,12/02/2025 12:52,12/02/2025 12:52,,828-839,,4,95,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,drought; phenology; Borneo; Dipterocarpaceae; El Nino-Southern Oscillation; general flowering; Indonesia; mast-fruiting; synchronized reproductive activity; tropical lowland evergreen rain forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD5ISKDK,journalArticle,2002,"Marco, DE; Páez, SA",Phenology and phylogeny of animal-dispersed plants in a Dry Chaco forest (Argentina),JOURNAL OF ARID ENVIRONMENTS,,0140-1963,10.1006/jare.2002.0976,,"Phenological patterns of dry tropical forests have been related to environmental factors, mainly rainfall and insolation, and to plant endogenous rhythms inherent to trees as. large, perennial plants. Superimposed to these environmental ('external hypothesis') and intrinsic ('endogenous hypothesis') explanations, there may be phylogenetic constraints contributing to shape phenology. The phenology of tree and shrub species with fleshy fruits in a Dry Chaco forest in Argentina was studied addressing these hypotheses and following two approaches, with the species average values taken as independent data points, and removing phylogenetic effects. The hypotheses addressed are largely complementary to one another. Strong environmental restrictions conditioned general flowering patterns with species endogenous characteristics acting secondarily. Phylogenetic patterns were also masked by climatic variables. When considering fruiting phenology, however, phylogeny, representing a set of species shared traits, predominated over environmental restrictions. (C) 2002 Published by Elsevier Science Ltd.",2002-09,12/02/2025 12:52,12/02/2025 12:52,,Jan-16,,1,52,,,,,,,,,,English,,,,,,,"Place: 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND Publisher: ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD Type: Article",,,,phenology; phylogeny; Argentina; dispersal guild; Dry Chaco forest; flowering and fruiting patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFNNEE4B,journalArticle,2018,"Kurten, Erin L.; Bunyavejchewin, Sarayudh; Davies, Stuart J.",Phenology of a dipterocarp forest with seasonal drought: Insights into the origin of general flowering,JOURNAL OF ECOLOGY,,0022-0477,10.1111/1365-2745.12858,,"Our understanding of the factors that shape reproductive phenology in Southeast Asian tropical forests comes almost exclusively from studies of everwet, general flowering (GF) forests. Therefore, we examined the phenology of an evergreen dipterocarp forest in a climate exhibiting seasonal drought in Southeast Asia, with the aim of evaluating what evidence it brings to bear on the hypothesis that reproductive phenology in contemporary dipterocarp forests is the product of evolutionarily conserved responses to seasonal drought. We hypothesized that (1) dipterocarp forests that experience seasonal drought would exhibit annual reproduction and seasonality similar to that of forests with similar climates in other parts of the world, (2) within species, flowering frequency would be climate-dependent, not a fixed trait, and (3) climatic events that cue flowering in everwet forests would also cue flowering in seasonally dry forests. From 2001 to 2009, we monitored flowering and fruiting monthly for 1,344 trees (>300 spp.) in a forest in Khao Chong (KC), Thailand that experiences an annual 2-4month dry season, assessing frequency, duration, seasonality and synchrony of reproduction. We also examined phenological records for trees in three dipterocarp-dominated forests in everwet climates. Reproductive phenology of the KC forest was more similar to tropical forests with similar rainfall seasonality in other parts of the world than it was to dipterocarp-dominated forests in everwet regions of Southeast Asia. The forest exhibited annual reproduction, with peak flowering occurring at the end of the dry season and peak fruiting occurring early in the wet season. Approximately half of all species and individuals reproduced annually, including several species that are known to exhibit general flowering in everwet climates. Short dry spells appeared to cue flowering for early flowering species, while later flowering species may have responded to either low precipitation or temperature, consistent with data from everwet forests. GF behaviour also showed significant phylogenetic signal. Synthesis. Our results support the hypothesis that the phenological behaviour of both seasonal and everwet dipterocarp forests may have initially evolved in response to seasonal drought and that the general flowering phenomenon is a product of evolutionary conservatism.",2018-01,12/02/2025 12:52,12/02/2025 12:52,,126-136,,1,106,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,fruiting; Dipterocarpaceae; general flowering; determinants of plant community diversity and structure; monsoon forests; reproduction; seasonally dry tropical forests; Southeast Asia; Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GCSIVKQ,journalArticle,2018,"Wright, S. Joseph; Calderon, Osvaldo",Solar irradiance as the proximate cue for flowering in a tropical moist forest,BIOTROPICA,,0006-3606,10.1111/btp.12522,,"We compared flowering times predicted by six possible proximate cues involving seasonal changes in rainfall and irradiance and flowering times observed over 30years of weekly censuses for 19 tree and liana species from Barro Colorado Island (BCI), Panama. Hypotheses concerning variation in the timing and intensity of rainfall failed to predict flowering times in any species. In contrast, 10 to 12weeks of consistent high levels of irradiance predicted flowering times well for eight species, and six or seven weeks of rapidly increasing levels of irradiance predicted flowering times well for two species. None of the six possible proximate cues predicted flowering times adequately for the nine remaining species. We conclude that high and increasing levels of irradiance are the proximate cues for flowering in many BCI species. The seasonal movements of the Intertropical Convergence Zone cause strong seasonal changes in cloud cover, atmospheric transmissivity, and irradiance reaching the BCI forest. Inter-annual variation in the timing of movements of the Intertropical Convergence Zone is the most likely cause of inter-annual variation in the timing of flowering in these species. Much work remains to be done as the physiological mechanisms linking flowering and irradiance are unknown and the proximate cues for flowering remain to be identified for many other BCI species. Resumen Se compararon los tiempos de floracion predichos por seis senales proximales posibles con lluvia e irradiacion y tiempos de floracion observados durante 30 anos de censos semanales para 19 especies de arboles y lianas de la Isla Barro Colorado (BCI), Panama. Las hipotesis relativas a la variacion en el tiempo y la intensidad de la precipitacion no pudieron predecir los tiempos de floracion en ninguna especie. Por el contrario, entre 10 y 12 semanas de consistentes niveles altos de irradiancia pronosticaron buenos tiempos de floracion para ocho especies, y seis o siete semanas de niveles de irradiancia de rapido aumento pronosticaron los tiempos de floracion para dos especies. Ninguna de las seis senales proximales posibles predijo los tiempos de floracion adecuadamente para las nueve especies restantes. Concluimos que niveles altos y crecientes de irradiancia son las senales cercanas para la floracion en muchas especies de BCI. Los movimientos estacionales de la zona de convergencia intertropical causan fuertes cambios estacionales en la cobertura de las nubes, la transmisividad atmosferica y la irradiancia alcanzan el bosque de BCI. La variacion interanual en el momento de los movimientos de la zona de convergencia intertropical es la causa mas probable de la variacion interanual en el momento de la floracion en estas especies. Todavia queda mucho por hacer, ya que los mecanismos fisiologicos que vinculan la floracion y la irradiacion son desconocidos y las senales cercanas para la floracion aun deben identificarse para muchas otras especies de BCI.",2018-05,12/02/2025 12:52,12/02/2025 12:52,,374-383,,3,50,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,rainfall; Barro Colorado Island; phenology; flowering times; moisture availability; solar insolation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UUYUVR58,journalArticle,2022,"Ivanov, Marlete Moreira Mendes; de Oliveira, Vynicius Barbosa; Leite, Ramon de Sousa; do Vale, Nicholyh Matsho Oliveira; Karasinski, Mauro Alessandro; Fernandes, Gabriel Siqueira Tavares",Seasonal Dynamics of the Phenology of Native Species from the Seasonally Dry Tropical Forest,FLORESTA E AMBIENTE,,2179-8087,10.1590/2179-8087-FLORAM-2021-0032,,"Phenological processes are strongly affected by environmental conditions. In this study we investigate the phenological patterns of six tree/shrub species in three Caatinga fragments and analyze the influence of rainfall and air temperature on these processes. Circular statistics was used to analyze the vegetative and reproductive phenophases over 12 months (dry and rainy seasons) in the years 2016 to 2017 and 2018 to 2019. Spearman's linear correlation test (r) was applied to verify the influence of meteorological variables of the two years of study on the phenological stages for each species. All species showed a seasonal pattern for vegetative phenophases. Reproductive phenophases were recorded in the two study periods only for one species. There was correlation of the phenophases only with rainfall, but not for all species. The amount of rainfall below the historical average indicates that precipitation is the most limiting factor for flowering in the evaluated species.",2022,12/02/2025 12:52,12/02/2025 12:52,,,,4,29,,,,,,,,,,English,,,,,,,"Place: RODOVIA BR 465 KM 7, RIO DE JANEIRO, CEP23897-000, BRAZIL Publisher: UNIV FEDERAL RURAL RIO DE JANEIRO, INST FLORESTAS Type: Article",,,,rainfall; phenophases; Caatinga; air temperature; Rayleigh test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYG5GGRP,journalArticle,2015,"Pineda-Herrera, Elizandro; Ignacio Valdez-Hernandez, Juan; de la Paz Perez-Olvera, Carmen; Davalos-Sotelo, Raymundo","PHENOLOGY, GROWTH IN DIAMETER AND PERIODICITY OF <i>HURA POLYANDRA</i> IN COSTA GRANDE, GUERRERO, MEXICO",BOTANICAL SCIENCES,,2007-4298,,,"Phenology Hura polyandra Baill. was evaluated in a semideciduous tropical forest of Azueta Zihuatanejo, Guerrero, recording bimonthly for two years: falling leaves, flowering, fruiting and leaf sprout, correlating these variables with precipitation and temperature. Diameter trees were associated with phenology. Using dendrometer bands growth diameter was measured every two months for two years, establishing six diameter categories, three symmetries and three crown lighting, adjusting the growth increments to a mathematical model. Growth periodicity was determined by performing markings on the cambium of a tree at 1.30 m (DBH) every two months and obtaining the corresponding slice at the end of the experiment to determine whether annual rings were formed. Hura polyandra defoliates from March to May, flowers from March to July; bear fruits from March to September and sprouts the leaves from July to January. Significant correlations occurred between the development of leaves buds with precipitation (P <= 0.01) and flowering with temperature (P <= 0.01). The growth is higher and significant (P <= 0.001) in diameter categories 10, 15 and 20 cm. Crown lighting helps significantly (P <= 0.01) greater increases in diameter. In the study area, this species forms an annual ring.",2015-12,12/02/2025 12:52,12/02/2025 12:52,,741-753,,4,93,,,,,,,,,,Spanish,,,,,,,"Place: APARTADO POSTAL 70-385 DELEGACION COYOACAN, CIUDAD UNIV, MEXICO, D F 00000, MEXICO Publisher: SOC BOTANICA MEXICO Type: Article",,,,crown lighting; crown symmety; Dendrometer bands; tropical semideciduos forest; Zihuatanejo de Azueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFQSF4Q9,journalArticle,2006,"Brando, Paulo; Ray, David; Nepstad, Daniel; Cardinot, Gina; Curran, Lisa M.; Oliveira, Rafael",Effects of partial throughfall exclusion on the phenology of <i>Coussarea racemosa</i> (Rubiaceae) in an east-central Amazon rainforest,OECOLOGIA,,0029-8549,10.1007/s00442-006-0507-z,,"Severe droughts may alter the reproductive phenology of tropical tree species, but our understanding of these effects has been hampered by confounded variation in drought, light and other factors during natural drought events. We used a large-scale experimental reduction of throughfall in an eastern-central Amazon forest to study the phenological response to drought of an abundant subcanopy tree, Coussarea racemosa. We hypothesized that drought would alter the production and the timing of reproduction, as well as the number of viable fruits. The study system comprised two 1-ha plots in the Tapajos National Forest, Para, Brazil: a dry plot where 50% of incoming precipitation (80% throughfall) was diverted from the soil during the six-month wet season beginning in January 2000, and a wet plot that received natural rainfall inputs. Fruit production of C. racemosa was quantified every 15 days using 100 litter traps (0.5 m(2)) in each plot. The production of new leaves and flowers was recorded monthly for C. racemosa individuals. Soil water, pre-dawn leaf water potential and solar radiation were measured to help interpret phenological patterns. Over the -3.5-year period (April 2000 through December 2003), total fruit production remained similar between plots, declining by 12%. In 2003, production was four times higher in both plots than in previous years. In the dry plot, fruit fall shifted 40 and 60 days later into the dry season in 2002 and 2003, respectively. Total fruit fall dry mass production was variable across the study period. Foliage and flower production coincided with peak irradiance early in the dry season until delays in flowering appeared in the dry plot in 2002 and 2003. Plant water stress, through its influence on leaf developmental processes and, perhaps, inhibition of photosynthesis, appears to have altered both the timing of fruit fall and the quality and number of seeds produced.",2006-11,12/02/2025 12:52,12/02/2025 12:52,,181-189,,2,150,,,,,,,,,,English,,,,,,,"Place: ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES Publisher: SPRINGER Type: Article",,,,drought; tropical; forest; biology; reproductive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
