"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7RLSIC4G","journalArticle","2024","Zhang, Tianwu; Chen, Yaya; Yang, Xiangrong; Zhang, Hui; Guo, Zengpeng; Hu, Guorui; Bai, Haonan; Sun, Yinguang; Huang, Li; Ma, Miaojun","Warming reduces mid-summer flowering plant reproductive success through advancing fruiting phenology in an alpine meadow","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","","0962-8452","10.1098/rspb.2024.1110","","Changes in reproductive phenology induced by warming are happening across the globe, with significant implications for plant sexual reproduction. However, the changes in plant reproductive output (number of flowers and fruits) and success (successful fruits/total flowers) in response to climate change have not been well characterized. Here, we conducted a warming and altered precipitation experiment in an alpine meadow on the eastern Tibetan Plateau to investigate the effects of climate change on the reproductive phenology and success of six common species belonging to two flowering functional groups. We found that warming advanced the start of flowering and the start of fruiting in mid-summerflowering plants. Warming reduced the reproductive output of early-spring flowering plants but did not change their reproductive success. The effects of warming and altered precipitation on the reproductive output and success of mid-summer flowering plants were year-dependent, and the fruiting phenology regulated the response of the mid-summer flowering plant's reproductive success to climate change. These findings highlight the critical role of fruiting phenology in the reproductive success of alpine plants and imply that alpine plants may reduce their fitness by producing fewer flowers and fruits under climate warming, especially for later flowering plants.","2024-10-30","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","2033","291","","","","","","","","","","English","","","","","","","Place: 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND Publisher: ROYAL SOC Type: Article","","","","reproductive phenology; flowering functional groups; precipitation changes; climate warming; alpine meadow; reproductive output","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVEIBMYS","journalArticle","2024","Crepaz, Harald; Quaglia, Elena; Lombardi, Giampiero; Lonati, Michele; Rossi, Mattia; Ravetto Enri, Simone; Dullinger, Stefan; Tappeiner, Ulrike; Niedrist, Georg","Phenological responses of alpine snowbed communities to advancing snowmelt","ECOLOGY AND EVOLUTION","","2045-7758","10.1002/ece3.11714","","Climate change is leading to advanced snowmelt date in alpine regions. Consequently, alpine plant species and ecosystems experience substantial changes due to prolonged phenological seasons, while the responses, mechanisms and implications remain widely unclear. In this 3-year study, we investigated the effects of advancing snowmelt on the phenology of alpine snowbed species. We related microclimatic drivers to species and ecosystem phenology using in situ monitoring and phenocams. We further used predictive modelling to determine whether early snowmelt sites could be used as sentinels for future conditions. Temperature during the snow-free period primarily influenced flowering phenology, followed by snowmelt timing. Salix herbacea and Gnaphalium supinum showed the most opportunistic phenology, while annual Euphrasia minima struggled to complete its phenology in short growing seasons. Phenological responses varied more between years than sites, indicating potential local long-term adaptations and suggesting these species' potential to track future earlier melting dates. Phenocams captured ecosystem-level phenology (start, peak and end of phenological season) but failed to explain species-level variance. Our findings highlight species-specific responses to advancing snowmelt, with snowbed species responding highly opportunistically to changes in snowmelt timings while following species-specific developmental programs. While species from surrounding grasslands may benefit from extended growing seasons, snowbed species may become outcompeted due to internal-clock-driven, non-opportunistic senescence, despite displaying a high level of phenological plasticity. Our study investigates the phenological responses of five typical snowbed species to advancing snowmelt using in situ monitoring, phenocam imagery and predictive modelling. Over 3 years, we found temperature to be the primary driver of phenological changes in alpine snowbeds, with varying importance of photoperiodism among species. Results suggest a potential diminishing relevance of photoperiodism in warmer conditions.image","2024-07","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","7","14","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","phenophase; snow cover; alpine ecosystem; phenocam; predictive modelling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TR6TP4L","journalArticle","2019","Zhang, Chunhui; Ma, Zhen; Zhou, Huakun; Zhao, Xinquan","Long-term warming results in species-specific shifts in seed mass in alpine communities","PEERJ","","2167-8359","10.7717/peerj.7416","","Background. Global warming can cause variation in plant functional traits due to phenotypic plasticity or rapid microevolutionary change. Seed mass represents a fundamental axis of trait variation in plants, from an individual to a community scale. Here, we hypothesize that long-term warming can shift the mean seed mass of species. Methods. We tested our hypothesis in plots that had been warmed over 18 years in alpine meadow communities with a history of light grazing (LG) and heavy grazing (HG) on the Qinghai-Tibet plateau. In this study, seeds were collected during the growing season of 2015. Results. We found that warming increased the mean seed mass of 4 (n = 19) species in the LG meadow and 6 (n = 20) species in the HG meadow, while decreasing the mean seed mass of 6 species in the LG and HG meadows, respectively. For 7 species, grazing history modified the effect of warming on seed mass. Therefore, we concluded that long-term warming can shift the mean seed mass at the species level. However, the direction of this variation is species-specific. Our study suggests that mean seed mass of alpine plant species appears to decrease in warmer (less stressful) habitats based on life-history theory, but it also suggests there may be an underlying trade-off in which mean seed mass may increase due to greater thermal energy inputs into seed development. Furthermore, the physical and biotic environment modulating this trade-off result in complex patterns of variation in mean seed mass of alpine plant species facing global warming.","2019-07-31","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","","7","","","","","","","","","","English","","","","","","","Place: 341-345 OLD ST, THIRD FLR, LONDON, EC1V 9LL, ENGLAND Publisher: PEERJ INC Type: Article","","","","Climate change; Functional traits; Grazing; Qinghai-tibet plateau; Trait variation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GEU7LJ4T","journalArticle","2019","Suonan, Ji; Classen, Aimee T.; Sanders, Nathan J.; He, Jin-Sheng","Plant phenological sensitivity to climate change on the Tibetan Plateau and relative to other areas of the world","ECOSPHERE","","2150-8925","10.1002/ecs2.2543","","Global warming and changes in precipitation are altering the phenology of plants that significantly impact the functioning and services of ecosystems. Although a number of studies have addressed responses of plant phenology to warming and altered precipitation individually, their interactions can alter plant phenology differently than either does independently. To explore how the interactions between global change drivers alter alpine ecosystems, we conducted a factorial experiment manipulating warming (ambient and +2 degrees C) and altered precipitation (50% decrease, control, and 50% increase) simultaneously in an alpine meadow on the Tibetan Plateau. Over two years, we monitored plant phenological events, leafout day and first flowering day, for 11 common plant species that account for 74.4% of the total above biomass. Surprisingly, there was no interaction between warming and changes in precipitation on community plant phenology, but warming advanced leaf-out and first flowering day by 7.10 and 9.79 d, respectively. Unlike the community response, plant functional groups had a variety of direct and interactive responses to the experimental climate drivers. While the phenology of legumes was most influenced by temperature, temperature and precipitation interacted to alter the phenology of grasses and forbs. To explore how plant phenological sensitivity on the Tibetan Plateau is compared with other meadow ecosystems, we combined our dataset with a global plant phenology dataset. Interestingly, the phenological sensitivity of leaf-out day and first flowering day on the Tibetan Plateau is 7.3 and 37.8 times greater than global phenological sensitivity, respectively. This result highlights that a meta-analysis of global phenological sensitivity may significantly underestimate change in some regions-even regions as large as the Tibetan Plateau. Together, our results suggest that the Tibetan Plateau may experience rapid change as temperatures warm and that these changes will likely be more rapid than in other regions of the world. Further, our study highlights that if we are to make accurate predictions of how plant phenology may change with warming, we need to understand the specific environmental cues that drive phenological responses across different areas.","2019-01","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","1","10","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; global warming; alpine meadow; Tibetan Plateau; altered precipitation; phenological sensitivity; plant functional groups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJI7RATM","journalArticle","2018","O'Leary, Donal S., III; Kellermann, Jherime L.; Wayne, Chris","Snowmelt timing, phenology, and growing season length in conifer forests of Crater Lake National Park, USA","INTERNATIONAL JOURNAL OF BIOMETEOROLOGY","","0020-7128","10.1007/s00484-017-1449-3","","Anthropogenic climate change is having significant impacts on montane and high-elevation areas globally. Warmer winter temperatures are driving reduced snowpack in the western USA with broad potential impacts on ecosystem dynamics of particular concern for protected areas. Vegetation phenology is a sensitive indicator of ecological response to climate change and is associated with snowmelt timing. Human monitoring of climate impacts can be resource prohibitive for land management agencies, whereas remotely sensed phenology observations are freely available at a range of spatiotemporal scales. Little work has been done in regions dominated by evergreen conifer cover, which represents many mountain regions at temperate latitudes. We used moderate resolution imaging spectroradiometer (MODIS) data to assess the influence of snowmelt timing and elevation on five phenology metrics (green up, maximum greenness, senescence, dormancy, and growing season length) within Crater Lake National Park, Oregon, USA from 2001 to 2012. Earlier annual mean snowmelt timing was significantly correlated with earlier onset of green up at the landscape scale. Snowmelt timing and elevation have significant explanatory power for phenology, though with high variability. Elevation has a moderate control on early season indicators such as snowmelt timing and green up and less on late-season variables such as senescence and growing season length. PCA results show that early season indicators and late season indicators vary independently. These results have important implications for ecosystem dynamics, management, and conservation, particularly of species such as whitebark pine (Pinus albicaulis) in alpine and subalpine areas.","2018-02","2025-03-06 11:17:01","2025-03-06 11:17:01","","273-285","","2","62","","","","","","","","","","English","","","","","","","Place: 233 SPRING ST, NEW YORK, NY 10013 USA Publisher: SPRINGER Type: Article","","","","Climate change; Phenology; Snowmelt; National parks; NDVI; Remote sensing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXCRBDAJ","journalArticle","2009","Steltzer, Heidi; Landry, Chris; Painter, Thomas H.; Anderson, Justin; Ayres, Edward","Biological consequences of earlier snowmelt from desert dust deposition in alpine landscapes","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","0027-8424","10.1073/pnas.0900758106","","Dust deposition to mountain snow cover, which has increased since the late 19th century, accelerates the rate of snowmelt by increasing the solar radiation absorbed by the snowpack. Snowmelt occurs earlier, but is decoupled from seasonal warming. Climate warming advances the timing of snowmelt and early season phenological events (e. g., the onset of greening and flowering); however, earlier snowmelt without warmer temperatures may have a different effect on phenology. Here, we report the results of a set of snowmelt manipulations in which radiation-absorbing fabric and the addition and removal of dust from the surface of the snowpack advanced or delayed snowmelt in the alpine tundra. These changes in the timing of snowmelt were superimposed on a system where the timing of snowmelt varies with topography and has been affected by increased dust loading. At the community level, phenology exhibited a threshold response to the timing of snowmelt. Greening and flowering were delayed before seasonal warming, after which there was a linear relationship between the date of snowmelt and the timing of phenological events. Consequently, the effects of earlier snowmelt on phenology differed in relation to topography, which resulted in increasing synchronicity in phenology across the alpine landscape with increasingly earlier snowmelt. The consequences of earlier snowmelt from increased dust deposition differ from climate warming and include delayed phenology, leading to synchronized growth and flowering across the landscape and the opportunity for altered species interactions, landscape-scale gene flow via pollination, and nutrient cycling.","2009-07-14","2025-03-06 11:17:01","2025-03-06 11:17:01","","11629-11634","","28","106","","","","","","","","","","English","","","","","","","Place: 2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA Publisher: NATL ACAD SCIENCES Type: Article","","","","phenology; climate warming; plant life history; synchronization; threshold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IN7FCUYD","journalArticle","2019","Pardee, Gabriella L.; Jensen, Isaac O.; Inouye, David W.; Irwin, Rebecca E.","The individual and combined effects of snowmelt timing and frost exposure on the reproductive success of montane forbs","JOURNAL OF ECOLOGY","","0022-0477","10.1111/1365-2745.13152","","Changes from historic weather patterns have affected the phenology of many organisms world-wide. Altered phenology can introduce organisms to novel abiotic conditions during growth and modify species interactions, both of which could drive changes in reproduction. We explored how climate change can alter plant reproduction using an experiment in which we manipulated the individual and combined effects of snowmelt timing and frost exposure, and measured subsequent effects on flowering phenology, peak flower density, frost damage, pollinator visitation and reproduction of four subalpine wildflowers. Additionally, we conducted a pollen-supplementation experiment to test whether the plants in our snowmelt and frost treatments were pollen limited for reproduction. The four plants included species flowering in early spring to mid-summer. The phenology of all four species was significantly advanced, and the bloom duration was longer in the plots from which we removed snow, but with species-specific responses to snow removal and frost exposure in terms of frost damage, flower production, pollinator visitation and reproduction. The two early blooming species showed significant signs of frost damage in both early snowmelt and frost treatments, which negatively impacted reproduction for one of the species. Further, we recorded fewer pollinators during flowering for the earliest-blooming species in the snow removal plots. We also found lower fruit and seed set for the early blooming species in the snow removal treatment, which could be attributed to the plants growing under unfavourable abiotic conditions. However, the later-blooming species escaped frost damage even in the plots where snow was removed, and experienced increased pollinator visitation and reproduction. Synthesis. This study provides insight into how plant communities could become altered due to changes in abiotic conditions, and some of the mechanisms involved. While early blooming species may be at a disadvantage under climate change, species that bloom later in the season may benefit from early snowmelt, suggesting that climate change has the potential to reshape flowering communities.","2019-07","2025-03-06 11:17:01","2025-03-06 11:17:01","","1970-1981","","4","107","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; phenology; plant reproduction; frost; plant-pollinator interactions; pollination services; snowmelt timing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIZSWYQW","journalArticle","2013","Iler, Amy M.; Hoye, Toke T.; Inouye, David W.; Schmidt, Niels M.","Nonlinear flowering responses to climate: are species approaching their limits of phenological change?","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","","0962-8436","10.1098/rstb.2012.0489","","Many alpine and subalpine plant species exhibit phenological advancements in association with earlier snowmelt. While the phenology of some plant species does not advance beyond a threshold snowmelt date, the prevalence of such threshold phenological responses within plant communities is largely unknown. We therefore examined the shape of flowering phenology responses (linear versus nonlinear) to climate using two long-term datasets from plant communities in snow-dominated environments: Gothic, CO, USA (19742011) and Zackenberg, Greenland (1996-2011). For a total of 64 species, we determined whether a linear or nonlinear regression model best explained interannual variation in flowering phenology in response to increasing temperatures and advancing snowmelt dates. The most common nonlinear trend was for species to flower earlier as snowmelt advanced, with either no change or a slower rate of change when snowmelt was early (average 20% of cases). By contrast, some species advanced their flowering at a faster rate over the warmest temperatures relative to cooler temperatures (average 5% of cases). Thus, some species seem to be approaching their limits of phenological change in response to snowmelt but not temperature. Such phenological thresholds could either be a result of minimum springtime photoperiod cues for flowering or a slower rate of adaptive change in flowering time relative to changing climatic conditions.","2013-08-19","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","1624","368","","","","","","","","","","English","","","","","","","Place: 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND Publisher: ROYAL SOC Type: Article","","","","climate change; plant phenology; alpine; Arctic; long-term monitoring; timing of flowering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INC62JLP","journalArticle","2008","Post, Eric S.; Pedersen, Christian; Wilmers, Christopher C.; Forchhammer, Mads C.","Phenological sequences reveal aggregate life history response to climatic warming","ECOLOGY","","0012-9658","10.1890/06-2138.1","","Climatic warming is associated with organisms breeding earlier in the season than is typical for their species. In some species, however, response to warming is more complex than a simple advance in the timing of all life history events preceding reproduction. Disparities in the extent to which different components of the reproductive phenology of organisms vary with climatic warming indicate that not all life history events are equally responsive to environmental variation. Here, we propose that our understanding of phenological response to climate change can be improved by considering entire sequences of events comprising the aggregate life histories of organisms preceding reproduction. We present results of a two-year warming experiment conducted on 33 individuals of three plant species inhabiting a low-arctic site. Analysis of phenological sequences of three key events for each species revealed how the aggregate life histories preceding reproduction responded to warming, and which individual events exerted the greatest influence on aggregate life history variation. For alpine chickweed (Cerastium alpinum), warming elicited a shortening of the duration of the emergence stage by 2.5 days on average, but the aggregate life history did not differ between warmed and ambient plots. For gray willow (Salix glauca), however, all phenological events monitored occurred earlier on warmed than on ambient plots, and warming reduced the aggregate life history of this species by 22 days on average. Similarly, in dwarf birch (Betula nana), warming advanced flower bud set, blooming, and fruit set and reduced the aggregate life history by 27 days on average. Our approach provides important insight into life history responses of many organisms to climate change and other forms of environmental variation. Such insight may be compromised by considering changes in individual phenological events in isolation.","2008-02","2025-03-06 11:17:01","2025-03-06 11:17:01","","363-370","","2","89","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; phenology; global warming; arctic; Betula nana; Cerastium alpinum; Salix glauca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9D8HWXG","journalArticle","2002","Kudo, G; Suzuki, S","Relationships between flowering phenology and fruit-set of dwarf shrubs in Alpine Fellfields in northern Japan: A comparison with a subarctic heathland in northern Sweden","ARCTIC ANTARCTIC AND ALPINE RESEARCH","","1523-0430","10.2307/1552470","","Relationships between flowering phenology and fruit-set of 10 ericaceous species were studied in three alpine fellfields in the Taisetsu Mountains, northern Japan. Flowering season varied from late May to early August among species. There was a positive correlation between flowering time and fruit-set under natural conditions. Pollinator exclusion by net-bagging and hand-pollination revealed that very low fruit-set in early-flowering species was caused by severe pollen limitation, while late-flowering species tended to have high fruit-set with slight pollen limitation. Such seasonal patterns reflect the changes in seasonal activity of pollinating insects, which are highly influenced by ambient temperature. A similar research program was conducted in a subarctic heathland in northern Sweden with almost similar species composition. In Sweden, however, there was no positive correlation between flowering time and fruit-set. The difference between the alpine fellfields and the subarctic heathland may be caused by the specific seasonal pattern of temperature change in either region. A steep increase in air temperature from early to mid-summer in the alpine fellfields in Japan may cause all increase in pollinator availability with progress of season.","2002-05","2025-03-06 11:17:01","2025-03-06 11:17:01","","185-190","","2","34","","","","","","","","","","English","","","","","","","Place: 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND Publisher: TAYLOR & FRANCIS LTD Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZCQUYLK","journalArticle","2017","Mulder, Christa P. H.; Iles, David T.; Rockwell, Robert F.","Increased variance in temperature and lag effects alter phenological responses to rapid warming in a subarctic plant community","GLOBAL CHANGE BIOLOGY","","1354-1013","10.1111/gcb.13386","","Summer temperature on the Cape Churchill Peninsula (Manitoba, Canada) has increased rapidly over the past 75years, and flowering phenology of the plant community is advanced in years with warmer temperatures (higher cumulative growing degree days). Despite this, there has been no overall shift in flowering phenology over this period. However, climate change has also resulted in increased interannual variation in temperature; if relationships between phenology and temperature are not linear, an increase in temperature variance may interact with an increase in the mean to alter how community phenology changes over time. In our system, the relationship between phenology and temperature was log-linear, resulting in a steeper slope at the cold end of the temperature spectrum than at the warm end. Because below-average temperatures had a greater impact on phenology than above-average temperatures, the long-term advance in phenology was reduced. In addition, flowering phenology in a given year was delayed if summer temperatures were high the previous year or 2 years earlier (lag effects), further reducing the expected advance over time. Phenology of early-flowering plants was negatively affected only by temperatures in the previous year, and that of late-flowering plants primarily by temperatures 2 years earlier. Subarctic plants develop leaf primordia one or more years prior to flowering (preformation); these results suggest that temperature affects the development of flower primordia during this preformation period. Together, increased variance in temperature and lag effects interacted with a changing mean to reduce the expected phenological advance by 94%, a magnitude large enough to account for our inability to detect a significant advance over time. We conclude that changes in temperature variability and lag effects can alter trends in plant responses to a warming climate and that predictions for changes in plant phenology under future warming scenarios should incorporate such effects.","2017-02","2025-03-06 11:17:01","2025-03-06 11:17:01","","801-814","","2","23","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; tundra; Cape Churchill Peninsula; flower preformation; Hudson Bay lowlands; nonlinear responses; plant flowering phenology; saltmarsh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99BQ5P79","journalArticle","2022","Li, Shuai; Dong, Shikui; Fu, Yongshuo; Zhou, Bingrong; Liu, Shiliang; Shen, Hao; Xu, Yudan; Gao, Xiaoxia; Xiao, Jiannan; Wu, Shengnan; Li, Fu","Air or soil temperature matters the responses of alpine plants in biomass accumulation to climate warming","SCIENCE OF THE TOTAL ENVIRONMENT","","0048-9697","10.1016/j.scitotenv.2022.157141","","Climate change has substantially affected plant phenology and growth on the Qinghai-Tibetan Plateau (QTP), while it remains unclear how plant phenology and growth impact the plant biomass under climate change. We used long-term data (from 1997 to 2017) for four plants, Stipa purpurea, Artemisia scoparia, Kobresia humilis and Astragalus laxmannii in the alpine meadow to examine the relationships among multiple climate factors, vegetative growth, reproductive growth, intrinsic growth rate and biomass. The order of returning to green determines the growth strategies of different plants, the earliest plants to green (p<0.05) (e.g., Stipa purpurea and Artemisia scoparia) would choose the strategy of vegetative growth (p<0.05); the earlier plants (p<0.05) (e.g., Kobresia humilis) would be regulated by both vegetative growth and reproductive growth (p<0.05); while the latest plant to green (p<0.05) such as Astragalus laxmannii, would choose intrinsic growth rate rather than growing season (P<0.05). Temperature was the most important drivers for key phenological phases and growth patterns of four species, different factors play a role in different stages of the growth period, i.e., in the early and late stage is the soil temperature, while in the middle stage is the average temperature or the maximum temperature, and all the optimum thresholds were >30 day. These findings provide the in-situ evidences of long-term changes in phenology and its associated growth on the biomass of alpine plants on the QTP in the era of climate change.","2022-10-20","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","","844","","","","","","","","","","English","","","","","","","Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article","","","","Phenology; Alpine plants; Qinghai-Tibetan Plateau; Climate warming; Aboveground biomass; Plant growth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSBBP635","journalArticle","2018","Adhikari, Bhupendra S.; Kumar, Rahul; Singh, Surendra P.","Early snowmelt impact on herb species composition, diversity and phenology in a western Himalayan treeline ecotone","TROPICAL ECOLOGY","","0564-3295","","","The rapid warming in Himalaya has begun to impact ice and snow and high elevation ecosystems, of which alpine treelines and meadows are particularly affected. The main objective of this study is to find out the impact of early snowmelt on herb communities of treeline ecotone (3200-3300 m elevations) located in Tungnath, Uttarakhand Himalaya. The focus is on species composition, species diversity and phenology. For this, we have followed two research approaches: first, comparing the herb communities of sites and microsites differing in the timing of snowmelt and the amount of snow cover, and second, comparing the phenology of common herb species with the past studies undertaken at the same and similar sites. We sampled several microsites which differed in the timing of snowmelt and were accordingly divisible into early snowmelt and late snowmelt microsites, the difference between them being of 3-5 days. Of the 86 species recorded across the sites, 84% were hemicryptophytic perennial forbs, and about 70% of them were native. Both herb species richness and species diversity were significantly higher in early snowmelt microsites than in late snowmelt microsites, both in high snow cover and low snow cover habitats. The total plant density ranged between 82-626 individuals m(-2) in early snowmelt microsites and 69-288 individuals m(-2) in late snowmelt microsites. It seems that the early snowmelt in a warming climate would promote species diversity and plant density. Comparison to the past studies indicates that because of climatic warming species have advanced and lengthened their vegetative and flowering phenophases. We could not assess whether migration of species from lower elevations contributed to high species richness of early snowmelt microsites. However, it cannot be ruled out, given that continent-wide species enrichments near mountain summits have been recorded elsewhere.","2018-09","2025-03-06 11:17:01","2025-03-06 11:17:01","","365-382","","2, SI","59","","","","","","","","","","English","","","","","","","Place: CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND Publisher: SPRINGERNATURE Type: Article","","","","Climate change; phenophase; life form; early snowmelt; species diversity; treeline ecotone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WYABDMCX","journalArticle","2017","Suonan, Ji; Classen, Aimee T.; Zhang, Zhenhua; He, Jin-Sheng","Asymmetric winter warming advanced plant phenology to a greater extent than symmetric warming in an alpine meadow","FUNCTIONAL ECOLOGY","","0269-8463","10.1111/1365-2435.12909","","1. The warming of terrestrial high-latitude ecosystems, while increasing, will likely be asymmetric across seasons-where winter non-growing seasons will warm more than summer-growing seasons. Asymmetric winter warming in temperature-sensitive ecosystems may delay spring phenological events by reducing the opportunity that a plants' chilling requirement is met. Similarly, symmetric warming can advance spring phenology. 2. To explore the impact of asymmetric warming on plant phenology, we applied a year-round warming and a winter warming treatment to our experimental plots. Over a 2-year period, we monitored leaf-out and flowering phenology for 11 plant species. 3. There was variation among species, however, both winter and year-round warming, advanced the leaf-out day and the first flowering day relative to the control treatment. Winter warming advanced leaf-out and flowering phenology by 11.1 (+/- 2.4) and 12.6 (+/- 2.9) days respectively. However, year-round warming had less of an impact advancing leaf-out and flowering phenology by 5.1 (+/- 2.1) and 10.0 (+/- 3.0) days respectively. 4. Our study provides direct evidence that asymmetric winter warming has a larger impact on plant phenology than symmetric year-round warming. Increasing soil temperature in the winter from below to above freezing temperatures advanced the spring phenology of alpine plants. Winter warming increased soil temperature more than year-round warming, which explains why phenology advanced under winter warming more than under year-round warming. In addition, early or mid-season flowering plant species displayed different phenology strategies in warmer winters. 5. Relative to other ecosystems, alpine ecosystems such as the Tibetan Plateau will likely respond to asymmetric warming given the higher amplitude of winter temperature increases due to climatic warming. Our data indicate that seasonal variation in warming should be considered when predicting and modelling the response of alpine ecosystems to climatic change.","2017-11","2025-03-06 11:17:01","2025-03-06 11:17:01","","2147-2156","","11","31","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; reproductive phenology; mid-summer flowering plants; Tibetan Plateau; early spring flowering plants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5UXICJH","journalArticle","2014","Suzuki, Ryo O.","Combined effects of warming, snowmelt timing, and soil disturbance on vegetative development in a grassland community","PLANT ECOLOGY","","1385-0237","10.1007/s11258-014-0396-x","","Climate warming and advanced snowmelt can simultaneously affect plant communities. However, the process of seasonal vegetative development under warming and early snowmelt conditions remains unclear, especially given that disturbance can amplify or dampen the effect of warming. This study addressed these issues using a 3-year experiment in a productive grassland in a cool temperate region. Three experimental conditions were established in the grassland: warming and early snowmelt using open-top chambers (OTCs), early snow removal and ambient temperature (SRs), and natural snowmelt and ambient temperature (CONTs). Half of the area of all plots was plowed to disturb soil conditions. Average temperature and snowmelt were 1.37 A degrees C higher and 16-26 days earlier in OTCs relative to CONTs, respectively. Vegetation censuses during the 1-4 week intervals showed earlier increases in species richness and vegetation cover after snowmelt in OTCs than CONTs and SRs. Differences in species richness and plant cover among treatments were substantially diminished in plowed areas. Aboveground biomass showed little difference among treatments at the end of the growing season, while richness remained higher in OTCs. These results indicate that early snow removal did not alter grassland vegetation. The effect of OTCs can thus be due to either warming or a combination of early snowmelt and warming. Although climate change is predicted to have strong impacts on arctic and alpine ecosystems, this study suggests that the warming may also have important impacts in temperate regions.","2014-12","2025-03-06 11:17:01","2025-03-06 11:17:01","","1399-1408","","12","215","","","","","","","","","","English","","","","","","","Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article","","","","Diversity; Productivity; Cool temperate; Miscanthus sinensis; Open-top chamber; Snow removal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
